Customer_placed_order_datetime,Placed_order_with_restaurant_datetime,Driver_at_restaurant_datetime,Delivered_to_consumer_datetime,Driver_ID,Restaurant_ID,Consumer_ID,Is_New,Delivery_Region,Is_ASAP,Order_total,Amount_of_discount,Amount_of_tip,Refunded_amount
16 02:57:17,16 02:59:28,16 03:06:57,16 03:36:44,229,27,34,TRUE,Palo Alto,TRUE,34.66,0,3.95,0
20 23:27:36,21 00:10:19,21 00:22:11,21 00:49:07,98,27,34,FALSE,Palo Alto,FALSE,50.86,0,6.18,0
02 01:45:10,02 01:45:35,02 02:01:11,02 02:17:59,133,10,35,FALSE,Palo Alto,TRUE,73.32,0,3.09,0
13 18:57:08,13 19:05:44,13 19:20:43,13 19:37:28,56,6,37,FALSE,Palo Alto,TRUE,19.59,6,0.62,0
29 19:09:05,29 19:16:28,29 19:37:24,29 19:57:21,394,68,40,FALSE,Palo Alto,TRUE,40.75,0,1.59,0
06 01:44:41,06 02:03:02,06 02:11:59,06 02:32:52,248,106,40,FALSE,Palo Alto,TRUE,35.92,0,2.74,0
23 01:59:28,23 02:06:53,,23 02:31:03,340,83,43,FALSE,Palo Alto,TRUE,20.08,0,0.64,0
13 18:11:44,13 18:13:38,13 18:17:45,13 18:48:09,155,95,43,FALSE,Palo Alto,TRUE,76.52,0,3.24,0
03 00:45:01,03 00:45:17,03 00:56:27,03 01:13:55,321,8,52,FALSE,Palo Alto,TRUE,29.33,0,1.47,0
05 18:11:18,05 19:07:23,05 19:27:57,05 19:48:12,125,8,52,FALSE,Palo Alto,FALSE,27.7,0,1.39,0
09 23:27:25,10 00:47:07,10 01:24:50,10 02:07:15,345,8,52,FALSE,Palo Alto,FALSE,27.7,0,1.39,0
15 21:53:30,15 23:17:25,,16 00:08:11,229,8,52,FALSE,Palo Alto,FALSE,26.06,0,1.3,0
10 19:27:46,10 19:29:42,10 19:43:36,10 20:17:07,166,9,52,FALSE,Palo Alto,TRUE,28.24,0,1.41,0
30 18:20:32,30 19:14:34,30 19:21:39,30 19:46:35,84,9,52,FALSE,Palo Alto,FALSE,20.63,0,1.03,0
11 01:32:42,11 01:34:30,11 01:41:33,11 02:11:14,259,207,52,FALSE,Palo Alto,TRUE,31.5,0,1.58,0
01 23:19:30,01 23:47:51,02 00:54:43,02 01:12:05,60,8,54,FALSE,Palo Alto,FALSE,15.79,0,0.79,0
08 00:03:39,08 00:36:38,08 01:24:13,08 01:41:54,200,8,54,FALSE,Palo Alto,FALSE,17.42,0,0.87,0
12 18:41:20,12 19:12:03,12 19:18:58,12 19:49:58,355,8,54,FALSE,Palo Alto,FALSE,30.47,0,1.52,0
04 18:21:54,04 19:28:11,04 19:28:22,04 19:54:35,222,9,54,FALSE,Palo Alto,FALSE,15.73,0,0.79,0
04 19:55:02,04 20:22:10,04 20:38:50,04 21:10:03,147,9,54,FALSE,Palo Alto,TRUE,17.96,0,0.9,0
07 18:47:33,07 19:02:25,07 19:28:30,07 19:47:45,328,9,54,FALSE,Palo Alto,TRUE,15.73,0,0.79,0
29 03:38:18,29 03:39:26,29 03:48:56,29 04:11:08,425,20,58,FALSE,Palo Alto,TRUE,31.99,0,1.19,0
06 03:02:20,06 03:15:49,,06 03:53:41,341,211,70,FALSE,Palo Alto,TRUE,25.03,0,0.87,0
19 03:32:46,19 03:32:56,19 03:44:58,19 04:07:47,115,211,70,FALSE,Palo Alto,TRUE,19.05,0,1.55,3.81
18 02:54:58,18 03:07:25,,18 04:07:37,246,12,73,FALSE,Palo Alto,TRUE,28.24,0,2.04,0
03 23:36:49,03 23:37:41,03 23:48:19,04 00:13:15,43,20,81,FALSE,Palo Alto,TRUE,31.99,0,1.19,0
26 00:14:24,26 00:17:01,,26 00:56:50,34,84,81,FALSE,Palo Alto,TRUE,21.17,0,0.69,0
18 03:07:59,18 03:10:26,,18 03:34:05,277,239,82,FALSE,Mountain View,TRUE,59.51,0,2.98,0
09 02:49:42,09 02:49:58,09 02:55:30,09 03:09:20,321,3,84,FALSE,Palo Alto,TRUE,45.53,0,1.81,0
06 18:25:02,06 18:26:48,06 18:55:13,06 19:09:25,154,6,88,FALSE,Palo Alto,TRUE,21.71,0,2.16,0
13 02:32:13,13 03:02:04,13 03:02:39,13 03:27:03,66,6,88,FALSE,Palo Alto,TRUE,20.08,0,1.94,0
19 18:37:43,19 18:40:14,19 18:47:19,19 19:05:21,84,15,88,FALSE,Palo Alto,TRUE,18.89,0,1.77,0
27 19:51:33,27 19:54:28,,27 20:57:02,56,15,88,FALSE,Palo Alto,TRUE,16.77,0,0.49,0
22 00:48:22,22 00:57:43,22 01:08:37,22 01:42:39,214,68,90,FALSE,Palo Alto,TRUE,45.15,0,4,0
25 00:30:32,25 00:30:49,,25 01:12:29,229,27,97,FALSE,Palo Alto,TRUE,41.24,0,3.24,0
13 00:07:15,13 00:25:02,13 00:37:33,13 00:58:31,102,44,99,FALSE,Mountain View,TRUE,21.71,0,1.09,0
20 03:17:07,20 03:24:46,20 03:44:22,20 03:59:32,360,44,99,FALSE,Mountain View,TRUE,37.43,0,1.87,0
04 01:44:17,04 01:47:46,04 02:02:56,04 02:14:49,287,215,99,FALSE,Mountain View,TRUE,34.22,0,1.71,0
02 04:20:09,02 04:21:17,02 04:34:49,02 05:01:03,343,5,105,FALSE,Palo Alto,TRUE,45.1,0,2.26,0
13 00:59:41,13 01:46:32,13 02:00:23,13 02:17:19,356,53,114,FALSE,Palo Alto,TRUE,240.48,0,31.51,0
07 00:50:26,07 00:51:14,07 01:14:18,07 01:52:25,56,63,114,FALSE,Palo Alto,TRUE,160.61,0,20.49,0
28 01:50:57,28 02:09:58,28 02:40:07,28 03:03:29,84,205,118,FALSE,Palo Alto,TRUE,34.11,0,1.71,0
26 03:19:46,26 03:23:33,,26 04:28:03,216,224,127,FALSE,Palo Alto,TRUE,73.43,0,3.67,0
18 03:23:47,18 03:24:18,18 03:43:55,18 04:47:35,313,10,129,FALSE,Palo Alto,TRUE,21.77,0,1.45,0
03 02:30:14,03 02:30:44,03 02:39:00,03 03:07:21,90,20,129,FALSE,Palo Alto,TRUE,49.72,0,3,0
17 04:08:49,17 04:09:03,,17 04:35:12,195,28,129,FALSE,Palo Alto,TRUE,24.98,0,1.74,0
24 02:52:46,24 02:53:37,24 03:19:01,24 03:41:09,313,66,129,FALSE,Palo Alto,TRUE,35.8,0,2.74,0
01 03:26:25,01 03:27:10,01 04:07:37,01 04:33:01,254,69,129,FALSE,Palo Alto,TRUE,23.35,0,1.59,0
05 02:45:49,05 02:58:28,,05 03:43:27,125,69,129,FALSE,Palo Alto,TRUE,38.52,0,2,0
13 20:39:05,13 21:06:50,,13 21:54:35,154,69,129,FALSE,Palo Alto,TRUE,26.61,0,1.89,0
10 02:43:53,10 02:44:28,10 03:04:36,10 03:18:27,320,101,129,FALSE,Palo Alto,TRUE,28.24,0,2.04,0
21 03:25:13,21 03:42:48,21 04:01:51,21 04:16:59,41,101,129,FALSE,Palo Alto,TRUE,34.71,0,2.64,0
25 04:25:49,25 04:26:18,25 04:34:38,25 05:12:49,363,107,129,FALSE,Palo Alto,TRUE,39.06,0,3.04,0
16 01:16:58,16 01:17:54,16 01:30:16,16 01:52:53,321,7,134,FALSE,Palo Alto,TRUE,73.81,0,3.11,0
08 00:37:13,08 00:38:01,08 00:53:17,08 01:43:59,324,8,134,FALSE,Palo Alto,TRUE,50.42,0,2.04,0
22 00:36:26,22 00:39:29,22 01:02:42,22 01:31:24,357,41,134,FALSE,Palo Alto,TRUE,62.82,0,2.61,0
24 18:18:23,24 18:27:34,24 19:00:12,24 19:21:11,357,68,135,FALSE,Palo Alto,TRUE,29.27,0,1.07,0
11 02:12:38,11 02:15:19,,11 02:45:14,325,7,139,FALSE,Mountain View,TRUE,93.49,0,8.04,0
09 18:46:20,09 19:25:29,09 19:33:59,09 19:59:00,282,21,144,FALSE,Palo Alto,TRUE,37.32,0,5,0
25 20:26:41,25 20:27:27,,25 21:06:47,383,21,144,FALSE,Palo Alto,TRUE,36.29,0,5.44,0
09 03:41:27,09 03:41:44,09 03:47:35,09 04:18:12,320,63,144,FALSE,Palo Alto,TRUE,98.06,0,8.46,0
30 01:00:05,30 01:02:29,30 01:38:29,30 01:59:10,154,63,144,FALSE,Palo Alto,TRUE,249.51,0,10.92,0
06 00:36:29,06 00:37:22,06 00:46:41,06 01:56:39,60,68,144,FALSE,Palo Alto,TRUE,130.65,0,7,0
22 02:34:53,22 02:38:05,22 02:47:50,22 03:13:47,7,84,144,FALSE,Palo Alto,TRUE,43.3,0,5.14,0
25 20:19:19,25 20:19:36,,25 21:02:27,394,94,144,FALSE,Palo Alto,TRUE,57.93,0,5.79,0
06 00:40:35,06 00:41:40,06 00:50:59,06 01:20:00,248,96,144,FALSE,Palo Alto,TRUE,28.84,0,5,0
06 20:44:53,06 20:48:02,06 21:19:00,06 21:44:13,69,96,144,FALSE,Palo Alto,TRUE,73.43,0,6.2,0
05 01:26:46,05 01:43:58,05 01:49:01,05 02:21:13,86,100,144,FALSE,Palo Alto,TRUE,79.9,0,10.19,0
07 02:13:54,07 02:14:03,07 02:24:43,07 03:11:45,248,107,144,FALSE,Palo Alto,TRUE,86.37,0,7.39,0
10 02:30:10,10 02:30:55,10 02:41:05,10 03:10:19,195,219,144,FALSE,Palo Alto,TRUE,91.1,0,7.82,0
20 20:02:07,20 20:04:41,20 20:41:03,20 20:59:51,43,362,144,FALSE,Palo Alto,TRUE,179.1,0,7.66,0
04 17:36:50,05 00:59:53,,05 01:29:08,29,12,158,FALSE,Palo Alto,FALSE,22.26,0,2.24,0
11 17:46:47,12 01:04:31,12 01:13:43,12 01:28:43,125,12,158,FALSE,Palo Alto,FALSE,22.26,0,2.24,0
18 17:33:36,19 00:59:53,19 01:08:32,19 01:30:12,273,12,158,FALSE,Palo Alto,FALSE,22.26,0,2.24,0
25 18:31:44,26 01:00:42,,26 01:32:19,41,12,158,FALSE,Palo Alto,FALSE,22.26,0,2.24,24.5
05 03:21:37,05 03:34:09,05 03:46:40,05 04:14:11,80,46,164,FALSE,Palo Alto,TRUE,51.62,0,4.19,0
19 20:29:41,19 20:31:01,19 20:58:19,19 21:37:41,274,95,164,FALSE,Palo Alto,TRUE,46.13,0,3.69,0
06 18:44:43,06 18:50:48,06 18:55:40,06 19:21:29,215,207,164,FALSE,Palo Alto,TRUE,37.43,0,1.87,0
17 02:26:31,17 02:31:52,17 02:41:10,17 03:04:32,363,207,164,FALSE,Palo Alto,TRUE,46.13,0,2.31,0
15 01:18:46,15 01:23:52,15 01:39:29,15 01:51:27,319,4,172,FALSE,Palo Alto,TRUE,53.25,0,0,0
26 01:48:54,26 02:08:56,,26 02:40:02,98,4,172,FALSE,Palo Alto,TRUE,39.66,0,0,0
19 03:45:39,19 03:46:48,19 03:51:15,19 04:16:45,276,94,175,FALSE,Palo Alto,TRUE,60.1,0,6.01,0
25 00:33:22,25 00:37:49,25 00:52:46,25 01:10:18,327,94,175,FALSE,Palo Alto,TRUE,57.93,0,5.79,0
23 20:56:26,23 20:56:50,23 21:23:03,23 21:42:06,373,9,176,FALSE,Palo Alto,TRUE,16.33,0,0.47,0
04 23:19:18,04 23:30:27,04 23:52:45,05 00:09:50,267,19,176,FALSE,Palo Alto,FALSE,23.89,0,1.64,0
23 01:26:22,23 01:31:55,23 01:48:16,23 02:11:48,156,49,178,FALSE,Palo Alto,TRUE,26.66,0,1.33,0
02 01:25:41,02 01:28:36,,02 02:13:16,259,63,178,FALSE,Palo Alto,TRUE,62.98,0,3.15,0
09 01:11:01,09 01:11:20,09 01:25:51,09 01:45:14,43,63,178,FALSE,Palo Alto,TRUE,53.14,0,2.66,0
07 01:26:50,07 01:32:40,07 01:41:04,07 02:02:11,276,79,178,FALSE,Palo Alto,TRUE,32.6,0,1.63,0
15 19:30:49,15 19:32:47,15 19:54:49,15 20:17:30,172,79,178,FALSE,Palo Alto,TRUE,25.02,0,1.25,0
29 01:22:09,29 01:28:43,,29 02:31:51,358,79,178,FALSE,Palo Alto,TRUE,32.6,0,1.63,0
10 19:18:28,10 19:19:22,,10 19:59:00,60,84,178,FALSE,Palo Alto,TRUE,34.11,0,1.71,0
30 01:43:37,30 01:47:31,,30 02:28:08,144,105,178,FALSE,Palo Alto,TRUE,37.43,0,1.87,0
24 01:42:03,24 02:02:55,24 02:18:31,24 03:03:34,137,360,178,FALSE,Palo Alto,TRUE,47.81,0,2.39,0
21 19:57:16,21 20:01:25,21 20:06:00,21 20:34:43,259,20,197,FALSE,Palo Alto,TRUE,16.33,0,0.47,0
03 23:33:27,03 23:39:26,,04 00:43:27,99,10,201,FALSE,Palo Alto,FALSE,45.1,0,3.59,0
03 01:18:09,03 01:21:30,03 01:33:21,03 02:00:14,29,20,201,FALSE,Palo Alto,TRUE,25.47,0,1.79,0
10 23:28:47,10 23:29:05,10 23:56:16,11 00:18:21,287,20,201,FALSE,Palo Alto,FALSE,25.47,0,1.79,0
01 23:57:32,01 23:58:02,02 00:10:16,02 00:46:40,90,68,201,FALSE,Palo Alto,TRUE,36.99,0,2.85,0
07 23:17:27,07 23:19:41,07 23:44:32,08 00:14:36,319,68,201,FALSE,Palo Alto,FALSE,36.99,0,2.85,0
17 23:36:05,17 23:36:29,17 23:49:47,18 00:17:53,145,68,201,FALSE,Palo Alto,TRUE,32.64,0,2.45,0
28 19:16:53,28 19:19:53,28 19:32:14,28 19:46:30,267,10,204,FALSE,Palo Alto,TRUE,21.77,0,2.17,0
26 19:05:51,26 19:16:39,,26 20:01:32,66,99,204,FALSE,Palo Alto,TRUE,47.81,5,4.78,0
18 03:00:48,18 03:04:48,18 03:12:18,18 03:46:59,240,5,212,FALSE,Palo Alto,TRUE,73.21,0,5,0
05 02:50:18,05 03:09:44,05 03:51:05,05 04:08:39,259,12,212,FALSE,Palo Alto,TRUE,18.94,0,2,0
14 01:01:38,14 01:14:27,14 01:22:10,14 01:30:59,365,12,212,FALSE,Palo Alto,TRUE,18.94,0,2,0
02 02:15:04,02 02:26:37,,02 02:45:07,321,18,212,FALSE,Palo Alto,TRUE,19.59,0,2,0
14 20:18:15,14 20:19:44,14 20:28:12,14 20:49:49,114,18,212,FALSE,Palo Alto,TRUE,19.59,0,2,0
30 20:33:01,30 20:33:37,30 20:44:02,30 20:57:42,147,18,212,FALSE,Palo Alto,TRUE,19.59,0,2,0
20 02:04:42,20 02:20:12,20 02:34:01,20 02:50:56,355,62,212,FALSE,Palo Alto,TRUE,22.86,0,2,0
01 00:47:35,01 01:12:12,01 01:16:28,01 01:29:14,24,72,212,FALSE,Palo Alto,TRUE,31.56,0,2,0
10 19:27:36,10 19:31:15,10 19:38:34,10 19:56:12,259,105,212,FALSE,Palo Alto,TRUE,21.17,0,2,0
13 23:01:59,13 23:16:47,,13 23:57:56,195,107,219,FALSE,Palo Alto,FALSE,16.33,0,0,0
27 00:55:02,27 00:56:45,,27 01:40:14,390,232,219,FALSE,Palo Alto,TRUE,40.15,0,0,0
29 00:49:16,29 00:54:08,,29 01:32:24,214,96,230,FALSE,Palo Alto,TRUE,36.99,0,1.42,0
09 23:26:48,10 01:23:00,10 01:49:07,10 02:06:56,349,83,233,FALSE,Palo Alto,FALSE,55.32,0,2.77,0
20 23:59:26,21 02:22:05,21 02:36:57,21 03:00:03,356,211,233,FALSE,Palo Alto,FALSE,70.33,0,3.52,0
28 00:15:48,28 01:09:26,28 01:31:10,28 01:59:20,392,211,233,FALSE,Palo Alto,FALSE,80.93,0,4.05,0
09 00:21:24,09 00:21:55,09 00:33:12,09 00:47:36,242,8,234,FALSE,Palo Alto,TRUE,23.35,0,1.17,0
11 00:36:05,11 00:38:08,,11 01:33:02,267,63,234,FALSE,Palo Alto,FALSE,43.36,0,1.71,0
13 23:08:08,13 23:26:21,13 23:46:33,13 23:57:32,365,6,236,FALSE,Palo Alto,FALSE,62.88,0,7.84,0
01 22:50:44,01 23:07:27,01 23:44:30,01 23:53:39,125,8,236,FALSE,Palo Alto,FALSE,61.41,0,3.07,0
02 16:59:22,02 17:01:22,02 18:30:42,02 18:42:28,343,8,236,FALSE,Palo Alto,FALSE,43.9,0,3.48,0
10 01:20:53,10 01:25:43,10 01:56:52,10 02:07:32,98,53,239,FALSE,Palo Alto,TRUE,51.13,0,4.15,0
11 19:20:24,11 19:26:28,,11 19:53:45,345,83,239,FALSE,Palo Alto,TRUE,21.12,0,1.39,0
16 19:21:04,16 19:27:28,,16 19:56:26,305,83,239,FALSE,Palo Alto,TRUE,21.12,0,1.39,0
25 19:30:06,25 19:30:19,,25 19:54:38,216,83,239,FALSE,Palo Alto,TRUE,21.12,0,0.69,0
19 01:23:13,19 01:32:19,19 01:38:05,19 02:04:30,156,258,239,FALSE,Palo Alto,TRUE,48.25,0,3.88,0
26 00:42:33,26 00:58:41,,26 01:44:13,288,258,239,FALSE,Palo Alto,TRUE,30.96,0,2.29,0
22 00:13:20,22 00:13:50,22 00:27:19,22 00:44:13,327,360,239,FALSE,Palo Alto,TRUE,38.63,0,3,0
12 00:58:51,12 01:00:00,12 01:14:19,12 01:47:23,60,200,246,FALSE,Palo Alto,TRUE,22.53,0,0,0
02 23:53:56,02 23:54:08,03 00:10:48,03 00:26:25,327,8,252,FALSE,Palo Alto,TRUE,26.61,0,0.94,0
01 17:14:46,01 17:18:19,01 18:00:46,01 18:16:14,259,9,252,FALSE,Palo Alto,FALSE,46.02,0,1.84,0
02 17:27:18,02 17:29:15,,02 18:22:50,343,9,252,FALSE,Palo Alto,FALSE,34.55,0,1.31,0
03 18:12:55,03 18:20:50,03 18:29:40,03 18:43:43,290,9,252,FALSE,Palo Alto,TRUE,31.34,0,1.16,0
20 00:50:27,20 00:51:18,20 01:15:52,20 01:22:05,156,16,252,FALSE,Palo Alto,TRUE,45.64,0,3.64,0
03 23:48:38,03 23:52:16,04 01:18:35,04 01:36:43,349,63,252,FALSE,Palo Alto,FALSE,37.43,0,1.44,0
05 01:30:48,05 01:34:00,,05 02:16:33,147,63,252,FALSE,Palo Alto,TRUE,61.73,0,2.56,0
07 01:59:53,07 02:09:36,07 02:18:15,07 02:50:15,275,3,253,FALSE,Palo Alto,TRUE,49.28,0,1.99,0
07 03:09:27,07 03:10:50,07 03:30:34,07 03:50:16,84,27,258,FALSE,Palo Alto,TRUE,23.89,0,0.82,0
14 02:52:26,14 03:11:40,14 03:27:43,14 03:49:58,254,4,264,FALSE,Palo Alto,TRUE,19.59,0,0.62,0
04 18:55:17,04 19:47:53,04 19:54:25,04 20:08:51,125,59,264,FALSE,Palo Alto,TRUE,31.94,0,1.19,0
27 03:28:07,27 03:29:35,,27 04:26:38,275,63,264,FALSE,Palo Alto,TRUE,30.96,0,1.14,0
01 02:22:28,01 02:23:56,01 02:28:33,01 02:54:56,147,71,264,FALSE,Palo Alto,TRUE,49,0,1.97,0
02 01:41:28,02 01:51:47,02 02:00:51,02 02:41:04,185,19,269,FALSE,Palo Alto,TRUE,18.51,0,0.93,0
01 04:02:37,01 04:02:52,,01 04:32:35,262,63,269,FALSE,Palo Alto,TRUE,21.77,0,1.09,0
06 22:01:28,06 23:53:44,07 00:27:30,07 00:40:34,347,10,272,FALSE,Palo Alto,FALSE,26.66,0,0,0
23 02:02:16,23 02:05:25,23 02:15:41,23 02:43:50,147,5,275,FALSE,Palo Alto,TRUE,43.52,0,3.45,0
26 01:11:13,26 01:35:21,,26 02:05:13,314,100,310,FALSE,Palo Alto,TRUE,27.21,0,0.97,0
10 03:29:06,10 03:30:04,10 03:35:29,10 04:02:50,246,9,317,FALSE,Palo Alto,TRUE,27.7,0,1.39,0
12 20:52:07,12 20:59:02,12 21:03:59,12 21:23:39,259,9,317,FALSE,Palo Alto,TRUE,26.06,0,0.92,0
03 00:18:50,03 00:19:53,03 01:30:16,03 01:41:33,34,20,317,FALSE,Palo Alto,FALSE,15.73,0,0.89,0
11 19:47:42,11 20:18:32,11 20:30:42,11 21:12:39,324,20,317,FALSE,Palo Alto,FALSE,15.73,0,0.44,0
09 02:43:50,09 02:44:16,09 02:54:42,09 03:19:14,147,66,317,FALSE,Palo Alto,TRUE,26.06,0,1.3,1.08
14 18:44:37,14 19:31:06,14 19:51:36,14 20:05:20,371,66,317,FALSE,Palo Alto,FALSE,16.82,0,0.49,0
14 01:55:52,14 02:06:01,14 02:11:08,14 02:29:28,240,105,317,FALSE,Palo Alto,TRUE,43.95,0,1.74,0
10 19:26:37,10 19:30:41,10 19:41:49,10 20:02:36,222,312,317,FALSE,Palo Alto,TRUE,15.27,0,0.42,0
09 00:39:56,09 00:40:34,09 00:47:00,09 01:24:57,349,8,322,FALSE,Palo Alto,TRUE,23.94,0,0.82,0
16 18:53:57,16 18:54:07,16 19:21:20,16 19:48:24,317,8,322,FALSE,Palo Alto,TRUE,33.19,0,3.32,0
30 18:50:26,30 19:14:10,30 19:27:14,30 19:48:11,267,9,322,TRUE,Palo Alto,TRUE,22.8,0,2.28,0
30 02:26:26,30 02:34:40,30 02:45:51,30 03:11:19,321,360,322,FALSE,Palo Alto,TRUE,21.77,0,2.18,0
06 00:37:27,06 00:38:37,06 01:20:40,06 01:35:17,137,27,327,FALSE,Palo Alto,TRUE,23.89,0,0.82,0
23 03:20:08,23 03:20:30,,23 03:51:35,320,27,327,TRUE,Palo Alto,TRUE,31.45,0,1.17,0
28 02:43:38,28 03:01:46,,28 03:29:50,197,207,327,FALSE,Palo Alto,TRUE,26.06,0,0.92,0
27 00:42:58,27 00:49:08,,27 01:33:15,367,27,338,TRUE,Palo Alto,TRUE,23.89,0,0.82,0
28 21:00:13,28 21:00:35,28 21:11:40,28 21:26:37,195,3,342,FALSE,Palo Alto,TRUE,36.45,0,4.2,0
21 00:31:17,21 00:52:55,,21 01:40:00,147,97,342,FALSE,Palo Alto,TRUE,70.33,0,8.87,0
21 19:20:04,21 19:25:26,21 20:08:47,21 20:23:36,99,107,342,FALSE,Palo Alto,TRUE,78.7,0,10.02,0
18 18:58:28,18 18:59:53,18 19:12:18,18 19:42:17,320,124,342,FALSE,Palo Alto,TRUE,20.93,0,2.05,0
05 02:34:41,05 02:52:59,05 03:09:28,05 03:34:02,345,207,342,FALSE,Palo Alto,TRUE,81.74,0,10.44,0
23 20:00:08,23 20:03:45,,23 20:54:25,320,219,342,TRUE,Palo Alto,TRUE,42.81,0,5.07,0
12 00:32:01,12 00:33:48,12 00:47:30,12 01:13:03,259,20,349,FALSE,Palo Alto,TRUE,20.63,0,0.67,0
